SYS,seg_id,set_id,metric,score
Tohoku-AIP-NTT.890,independent.281139::1,0,ensemble,90.45054283063493
Tohoku-AIP-NTT.890,independent.281139::2,1,ensemble,90.24889648848925
Tohoku-AIP-NTT.890,independent.281139::3,2,ensemble,89.44771655931882
Tohoku-AIP-NTT.890,independent.281139::4,3,ensemble,89.86690765421247
Tohoku-AIP-NTT.890,independent.281139::5,4,ensemble,91.3129999311215
Tohoku-AIP-NTT.890,independent.281139::6,5,ensemble,89.1270504339164
Tohoku-AIP-NTT.890,independent.281139::7,6,ensemble,90.14547477539637
Tohoku-AIP-NTT.890,independent.281139::8,7,ensemble,90.99250635299208
Tohoku-AIP-NTT.890,independent.281139::9,8,ensemble,90.80623534989053
Tohoku-AIP-NTT.890,independent.281139::10,9,ensemble,91.12772697168901
Tohoku-AIP-NTT.890,independent.281139::11,10,ensemble,90.95387673745415
Tohoku-AIP-NTT.890,independent.281139::12,11,ensemble,89.42408885130114
Tohoku-AIP-NTT.890,independent.281139::13,12,ensemble,90.35006146138181
Tohoku-AIP-NTT.890,en.ndtv.com.13152::1,13,ensemble,89.65472257578679
Tohoku-AIP-NTT.890,en.ndtv.com.13152::2,14,ensemble,94.4139265857071
Tohoku-AIP-NTT.890,en.ndtv.com.13152::3,15,ensemble,90.56442281098101
Tohoku-AIP-NTT.890,en.ndtv.com.13152::4,16,ensemble,90.40859002455106
Tohoku-AIP-NTT.890,en.ndtv.com.13152::5,17,ensemble,90.90535265732949
Tohoku-AIP-NTT.890,en.ndtv.com.13152::6,18,ensemble,89.2059514211384
Tohoku-AIP-NTT.890,en.ndtv.com.13152::7,19,ensemble,91.5853616191849
Tohoku-AIP-NTT.890,en.ndtv.com.13152::8,20,ensemble,90.75195770319351
Tohoku-AIP-NTT.890,en.ndtv.com.13152::9,21,ensemble,90.76466186807629
Tohoku-AIP-NTT.890,en.ndtv.com.13152::10,22,ensemble,90.77117059250058
Tohoku-AIP-NTT.890,en.ndtv.com.13152::11,23,ensemble,90.36427063400312
Tohoku-AIP-NTT.890,cnn.385674::1,24,ensemble,92.45224788154555
Tohoku-AIP-NTT.890,cnn.385674::2,25,ensemble,91.7531186155836
Tohoku-AIP-NTT.890,cnn.385674::3,26,ensemble,89.08489174428988
Tohoku-AIP-NTT.890,cnn.385674::4,27,ensemble,89.6514168413416
Tohoku-AIP-NTT.890,cnn.385674::5,28,ensemble,87.27766799068404
Tohoku-AIP-NTT.890,cnn.385674::6,29,ensemble,88.852392316093
Tohoku-AIP-NTT.890,cnn.385674::7,30,ensemble,91.15884022821652
Tohoku-AIP-NTT.890,cnn.385674::8,31,ensemble,91.29487859087304
Tohoku-AIP-NTT.890,cnn.385674::9,32,ensemble,91.30583273434621
Tohoku-AIP-NTT.890,cnn.385674::10,33,ensemble,89.51754355664674
Tohoku-AIP-NTT.890,seattle_times.7755::1,34,ensemble,91.45014957009889
Tohoku-AIP-NTT.890,seattle_times.7755::2,35,ensemble,88.5780698076017
Tohoku-AIP-NTT.890,seattle_times.7755::3,36,ensemble,90.07016155717731
Tohoku-AIP-NTT.890,seattle_times.7755::4,37,ensemble,90.25744782983574
Tohoku-AIP-NTT.890,seattle_times.7755::5,38,ensemble,89.06017514488512
Tohoku-AIP-NTT.890,seattle_times.7755::6,39,ensemble,88.15164745299488
Tohoku-AIP-NTT.890,reuters.276709::1,40,ensemble,86.13220931861576
Tohoku-AIP-NTT.890,reuters.276709::2,41,ensemble,91.5022242021014
Tohoku-AIP-NTT.890,reuters.276709::3,42,ensemble,91.36962079473194
